algorithm,topology,n,trial,convergence_ms
gossip,full,32,1,5
gossip,full,32,2,4
gossip,full,32,3,4
gossip,full,32,4,5
gossip,full,32,5,4
gossip,full,64,1,5
gossip,full,64,2,8
gossip,full,64,3,5
gossip,full,64,4,7
gossip,full,64,5,5
gossip,full,128,1,8
gossip,full,128,2,7
gossip,full,128,3,9
gossip,full,128,4,6
gossip,full,128,5,6
gossip,full,256,1,34
gossip,full,256,2,15
gossip,full,256,3,22
gossip,full,256,4,20
gossip,full,256,5,26
gossip,full,512,1,146
gossip,full,512,2,99
gossip,full,512,3,107
gossip,full,512,4,64
gossip,full,512,5,73
gossip,full,1024,1,348
gossip,full,1024,2,371
gossip,full,1024,3,398
gossip,full,1024,4,573
gossip,full,1024,5,384
gossip,line,32,1,8
gossip,line,32,2,5
gossip,line,32,3,6
gossip,line,32,4,4
gossip,line,32,5,7
gossip,line,64,1,4
gossip,line,64,2,3
gossip,line,64,3,5
gossip,line,64,4,4
gossip,line,64,5,4
gossip,line,128,1,4
gossip,line,128,2,3
gossip,line,128,3,4
gossip,line,128,4,4
gossip,line,128,5,3
gossip,line,256,1,4
gossip,line,256,2,4
gossip,line,256,3,4
gossip,line,256,4,4
gossip,line,256,5,5
gossip,line,512,1,75
gossip,line,512,2,61
gossip,line,512,3,44
gossip,line,512,4,40
gossip,line,512,5,82
gossip,line,1024,1,316
gossip,line,1024,2,348
gossip,line,1024,3,376
gossip,line,1024,4,92
gossip,line,1024,5,613
gossip,grid3d,27,1,7
gossip,grid3d,27,2,6
gossip,grid3d,27,3,5
gossip,grid3d,27,4,4
gossip,grid3d,27,5,3
gossip,grid3d,64,1,3
gossip,grid3d,64,2,4
gossip,grid3d,64,3,2
gossip,grid3d,64,4,4
gossip,grid3d,64,5,4
gossip,grid3d,125,1,3
gossip,grid3d,125,2,4
gossip,grid3d,125,3,4
gossip,grid3d,125,4,3
gossip,grid3d,125,5,4
gossip,grid3d,216,1,4
gossip,grid3d,216,2,5
gossip,grid3d,216,3,6
gossip,grid3d,216,4,4
gossip,grid3d,216,5,5
gossip,grid3d,343,1,7
gossip,grid3d,343,2,6
gossip,grid3d,343,3,6
gossip,grid3d,343,4,11
gossip,grid3d,343,5,6
gossip,grid3d,512,1,9
gossip,grid3d,512,2,10
gossip,grid3d,512,3,10
gossip,grid3d,512,4,10
gossip,grid3d,512,5,8
gossip,imperfect3d,27,1,2
gossip,imperfect3d,27,2,2
gossip,imperfect3d,27,3,2
gossip,imperfect3d,27,4,2
gossip,imperfect3d,27,5,2
gossip,imperfect3d,64,1,2
gossip,imperfect3d,64,2,3
gossip,imperfect3d,64,3,2
gossip,imperfect3d,64,4,3
gossip,imperfect3d,64,5,2
gossip,imperfect3d,125,1,4
gossip,imperfect3d,125,2,4
gossip,imperfect3d,125,3,3
gossip,imperfect3d,125,4,4
gossip,imperfect3d,125,5,3
gossip,imperfect3d,216,1,3
gossip,imperfect3d,216,2,6
gossip,imperfect3d,216,3,5
gossip,imperfect3d,216,4,4
gossip,imperfect3d,216,5,8
gossip,imperfect3d,343,1,16
gossip,imperfect3d,343,2,7
gossip,imperfect3d,343,3,11
gossip,imperfect3d,343,4,8
gossip,imperfect3d,343,5,5
gossip,imperfect3d,512,1,11
gossip,imperfect3d,512,2,10
gossip,imperfect3d,512,3,20
gossip,imperfect3d,512,4,13
gossip,imperfect3d,512,5,10
push-sum,full,32,1,8
push-sum,full,32,2,9
push-sum,full,32,3,9
push-sum,full,32,4,9
push-sum,full,32,5,10
push-sum,full,64,1,17
push-sum,full,64,2,18
push-sum,full,64,3,14
push-sum,full,64,4,20
push-sum,full,64,5,15
push-sum,full,128,1,31
push-sum,full,128,2,35
push-sum,full,128,3,37
push-sum,full,128,4,35
push-sum,full,128,5,36
push-sum,full,256,1,103
push-sum,full,256,2,113
push-sum,full,256,3,88
push-sum,full,256,4,85
push-sum,full,256,5,101
push-sum,full,512,1,445
push-sum,full,512,2,375
push-sum,full,512,3,376
push-sum,full,512,4,374
push-sum,full,512,5,425
push-sum,full,1024,1,1377
push-sum,full,1024,2,1330
push-sum,full,1024,3,1326
push-sum,full,1024,4,1377
push-sum,full,1024,5,1353
push-sum,line,32,1,81
push-sum,line,32,2,99
push-sum,line,32,3,116
push-sum,line,32,4,72
push-sum,line,32,5,125
push-sum,line,64,1,626
push-sum,line,64,2,539
push-sum,line,64,3,694
push-sum,line,64,4,212
push-sum,line,64,5,696
push-sum,line,128,1,801
push-sum,line,128,2,818
push-sum,line,128,3,1526
push-sum,line,128,4,2679
push-sum,line,128,5,2065
push-sum,line,256,1,1205
push-sum,line,256,2,11446
push-sum,line,256,3,10898
push-sum,line,256,4,3466
push-sum,line,256,5,8886
push-sum,line,512,1,6041
push-sum,line,512,2,4895
push-sum,line,512,3,30108
push-sum,line,512,4,11042
push-sum,line,512,5,7220
push-sum,line,1024,1,142586
push-sum,line,1024,2,12150
push-sum,line,1024,3,17097
push-sum,line,1024,4,17292
push-sum,line,1024,5,83087
push-sum,grid3d,27,1,11
push-sum,grid3d,27,2,11
push-sum,grid3d,27,3,12
push-sum,grid3d,27,4,12
push-sum,grid3d,27,5,11
push-sum,grid3d,64,1,34
push-sum,grid3d,64,2,31
push-sum,grid3d,64,3,33
push-sum,grid3d,64,4,45
push-sum,grid3d,64,5,34
push-sum,grid3d,125,1,91
push-sum,grid3d,125,2,92
push-sum,grid3d,125,3,89
push-sum,grid3d,125,4,84
push-sum,grid3d,125,5,93
push-sum,grid3d,216,1,207
push-sum,grid3d,216,2,211
push-sum,grid3d,216,3,201
push-sum,grid3d,216,4,205
push-sum,grid3d,216,5,218
push-sum,grid3d,343,1,412
push-sum,grid3d,343,2,541
push-sum,grid3d,343,3,469
push-sum,grid3d,343,4,415
push-sum,grid3d,343,5,404
push-sum,grid3d,512,1,862
push-sum,grid3d,512,2,889
push-sum,grid3d,512,3,856
push-sum,grid3d,512,4,792
push-sum,grid3d,512,5,804
push-sum,imperfect3d,27,1,7
push-sum,imperfect3d,27,2,8
push-sum,imperfect3d,27,3,7
push-sum,imperfect3d,27,4,6
push-sum,imperfect3d,27,5,6
push-sum,imperfect3d,64,1,22
push-sum,imperfect3d,64,2,20
push-sum,imperfect3d,64,3,19
push-sum,imperfect3d,64,4,19
push-sum,imperfect3d,64,5,22
push-sum,imperfect3d,125,1,54
push-sum,imperfect3d,125,2,45
push-sum,imperfect3d,125,3,68
push-sum,imperfect3d,125,4,51
push-sum,imperfect3d,125,5,52
push-sum,imperfect3d,216,1,110
push-sum,imperfect3d,216,2,111
push-sum,imperfect3d,216,3,117
push-sum,imperfect3d,216,4,97
push-sum,imperfect3d,216,5,115
push-sum,imperfect3d,343,1,208
push-sum,imperfect3d,343,2,211
push-sum,imperfect3d,343,3,177
push-sum,imperfect3d,343,4,187
push-sum,imperfect3d,343,5,150
push-sum,imperfect3d,512,1,261
push-sum,imperfect3d,512,2,259
push-sum,imperfect3d,512,3,293
push-sum,imperfect3d,512,4,293
push-sum,imperfect3d,512,5,325
